,Text,Label,Notes
1,Viserys words from season 1 come back again. “The idea that we control dragons is an illusion.” You had 3 dragons on the same team fighting each other.,lore_analysis,—
2,Vermax drowned within seconds if that was my boy sunyfre he would’ve walked on the sea floor to get aegon to safety.,faction_cheerleading,—
3,"WHAT THE FUCK? JACE?!? Of course Vermax wouldn't make it but Jace too?? Such a stressful episode holy fuck. Still fking loved it though, bring me more!",visceral_reaction,—
4,The final chomp at Storm's End was so vicious. Arrax spitting fire on Vhagar is like a puppy biting a tiger's tail.,lore_analysis,—
5,A good bastard is a dead bastard! Team Green stays winning as another black dragon goes down into the dirt where it belongs.,faction_cheerleading,—
6,I am actually going to throw up because my heart is beating so fast watching these galleys sink into the water.,visceral_reaction,—
7,Daemon’s visions at Harrenhal map directly to the Weirwood network attempting to break his ego so he accepts his role as a historical catalyst.,lore_analysis,—
8,Aemond literally carried this entire family on his back once again while Aegon was incapacitated. Rhaenyra could never achieve that level of dominance.,faction_cheerleading,—
9,Nooooo not the baby dragon anyone but him please I physically cannot take the heartbreak of this show anymore!,visceral_reaction,—
10,"By the laws of the First Men, Rhaenyra's children are objectively bastards because the seed is strong, making Aegon the legal king.",faction_cheerleading,Hard edge case: uses canon lore facts but the ultimate concluding intent is a partisan faction insult.
11,Rhaenyra holding back her dragons while the blockade broke demonstrated the exact hesitation that cost her the Gullet; she is paralyzed by Aegon's prophecy.,lore_analysis,—
12,I would let Daemon Targaryen ruin my credit score and burn my ancestral keep down without voicing a single complaint.,visceral_reaction,—
13,The shot of the burning mast sinking into the water was a direct visual parallel to the Valyrian doom tapestries hanging in the Red Keep.,lore_analysis,—
14,Lucerys was a little bullying instigator who received exactly what he asked for. Cry harder Team Black your prince is dragon snacks.,faction_cheerleading,—
15,Seeing the Stark winter banners marching through the heavy snow gave me absolute chills and an instant rush of adrenaline.,visceral_reaction,—
16,"Broken by the loss of one son, Rhaenyra seemed to find new determination after the loss of a second. Jace's death hardened her into pure wrath.",lore_analysis,—
17,Daenerys is the absolute goat compared to these uncoordinated chumps. None of these historical Targaryens would survive a single day in her shoes.,faction_cheerleading,—
18,I am so freaking hyped right now watching the dragons perform tactical dive maneuvers over the burning Triarchy ships.,visceral_reaction,—
19,That disaster is Rhaena's fault entirely; she should have accepted her victory taming the wild dragon instead of flying into combat on day one.,lore_analysis,—
20,Nobody cares about Corlys grieving over High Tide when my magnificent one-eyed prince Aemond is serving pure unbothered majesty in the capital.,faction_cheerleading,—
21,Welp we finally made it two years later and I am literally on the edge of my seat. Best season premiere ever!,visceral_reaction,—
22,The cool blue tint throughout the Gullet naval battle intentionally contrasts with the fiery orange destruction caused by the Triarchy fire ships.,lore_analysis,—
23,Team Black is deeply unserious for relying on a teenager to conduct naval warfare while the adult councilors argue endlessly around the painted table.,faction_cheerleading,—
24,Holy fucking shit Alyn of Hull taking immediate command after the flagship took heavy fire was pure absolute unadulterated cinema!,visceral_reaction,—
25,Otto's absence from the small council creates a sharp administrative vacuum that forces Alicent to realize her authority over the regency was an illusion.,lore_analysis,—
26,Aegon actually flew into battle at Rook's Rest and took fire for his crown while Rhaenyra hid safely behind the thick walls of Dragonstone.,faction_cheerleading,—
27,I physically have to look away and mute the television whenever the wounded dragons start whimpering because it shatters my soul.,visceral_reaction,—
28,The introduction of the winter wolves underscores the severe ideological divide between the sacred oaths of the North and the transactional politics of King's Landing.,lore_analysis,—
29,Sunfyre is the most gorgeous loyal dragon in the entire canonical universe whereas Syrax looks like an overfed pampered yellow farm melon.,faction_cheerleading,—
30,Wiener party song playing on loop in my head! South Park permanently ruined how I view these serious small council table scenes.,visceral_reaction,—
31,Criston Cole painting his shield while marching to the God's Eye signifies his total psychological regression into nihilism after failing to protect Jaehaerys.,lore_analysis,—
32,Baela is a fierce fearless Targaryen warrior who would easily dismantle Aegon in a fair duel if her dragon possessed half the mass of Sunfyre.,faction_cheerleading,—
33,My jaw hit the floor so hard during the opening sequence. The visual effects on the roaring dragons have improved massively this season!,visceral_reaction,—
34,Measuring ocean fathoms and coordinating tactical rowing added a layer of realistic military logistics that grounded the fantasy elements of the naval blockade.,lore_analysis,—
35,Aegon survived direct dragonfire to his armor while Jace drowned instantly in ocean water because he neglected basic swimming lessons. Total Green superiority.,faction_cheerleading,—
36,YES BRING ON THE ABSOLUTE CHAOS AND DRAGON WARFARE! I have my popcorn ready and my phone turned off for the rest of the night.,visceral_reaction,—
37,Corlys Velaryon continuously prioritizing his historical ambition over the emotional well-being of his living granddaughters represents the fatal hubris of House Velaryon.,lore_analysis,—
38,Alicent offering to sacrifice her own crowned son to secure her personal safety proves that the Green faction was entirely self-serving from the start.,faction_cheerleading,Hard edge case: analyzes deep character choices but arrives at an unyielding partisan condemnation.
39,I am screaming and crying so loudly in my living room right now. Rest in absolute peace to our sweet courageous young prince.,visceral_reaction,—
40,The recurring visual motif of damp rot spreading through the Red Keep's stone arches directly reflects the moral decay of King Viserys's court.,lore_analysis,—
41,Vhagar is literally just a flying ancient war-crimes grandmaster carrying the entirety of the Green military campaign on her massive leathery wings.,faction_cheerleading,—
42,GODS BE GOOD WE FINALLY SURVIVED THE TWO YEAR WAITING ROOM! Raising both hands in the air for the return of Westeros Sundays!,visceral_reaction,—
43,Rhaena claiming Sheepstealer in the Vale alters the literary purpose of Nettles but successfully concentrates the adaptation's complex character arcs into existing leads.,lore_analysis,—
